scenario_family,topology,load_tier,row_count,experiment_count,anomaly_precision,anomaly_recall,anomaly_f1,balanced_accuracy,pr_auc,roc_auc
backend_churn,local,high,102,1,0.07142857142857142,0.8,0.13114754098360656,0.6319587628865979,0.1343553547901374,0.7041237113402062
backend_churn,local,medium,125,1,0.06,0.42857142857142855,0.10526315789473684,0.5151331719128329,0.0961077751400332,0.5581113801452785
backend_churn,remote,high,110,1,0.04395604395604396,0.8,0.08333333333333333,0.48571428571428577,0.07748744323973682,0.5123809523809524
backend_churn,remote,medium,109,1,0.05813953488372093,0.7142857142857143,0.10752688172043011,0.4600840336134454,0.3741339593140042,0.5252100840336134
conntrack_pressure,local,high,115,1,0.3220338983050847,0.5277777777777778,0.4,0.5107243319268636,0.3249462787745401,0.4773206751054852
conntrack_pressure,local,medium,64,1,0.5862068965517241,0.4857142857142857,0.53125,0.5359605911330049,0.6016848026894208,0.5763546798029556
conntrack_pressure,remote,high,96,1,0.46153846153846156,0.972972972972973,0.6260869565217392,0.630554283096656,0.5049777950953934,0.6917086578103527
conntrack_pressure,remote,medium,87,1,0.5166666666666667,0.8857142857142857,0.6526315789473685,0.664010989010989,0.6088850363879728,0.6975274725274725
path_degradation,remote,high,110,1,0.3711340206185567,0.972972972972973,0.5373134328358209,0.5686782673084043,0.3431784395995341,0.5364679748241392
path_degradation,remote,medium,151,1,0.12941176470588237,0.3142857142857143,0.18333333333333332,0.3381773399014778,0.16111801395236636,0.2780788177339902
